UPI_Age_Days,Transaction_Amount,Transaction_Time,Transactions_Last_24Hrs,Failed_Transactions,New_Recipient,Device_Changed,Location_Changed,Multiple_UPI_Apps,Linked_Bank_Count,Fraud_Reported,Account_Verified,Fraud
2095,5250,21,46,7,1,1,0,0,1,0,1,1
1716,312,23,21,13,0,0,0,0,3,0,1,1
1647,17312,13,42,14,0,1,0,0,1,0,1,1
1063,29936,21,25,13,0,1,0,0,3,0,1,0
2276,26079,1,46,7,0,0,0,0,4,0,1,1
1976,10564,12,5,4,1,0,0,0,4,0,0,1
2398,13928,23,8,6,0,0,0,1,2,0,1,1
1871,41615,21,48,13,0,0,1,0,2,0,1,0
2374,30115,21,3,2,0,0,0,0,5,0,1,1
2893,47372,0,5,1,0,0,0,0,2,0,1,1
2377,19226,8,10,14,0,0,0,1,4,1,1,1
376,36308,8,33,11,0,1,0,0,5,0,1,0
2318,30533,2,20,4,1,0,0,0,5,0,1,1
1864,9520,7,13,15,0,0,0,0,1,0,1,1
1998,36465,7,50,6,0,1,0,0,4,0,1,0
2036,25063,6,26,3,1,0,0,0,1,0,1,1
3594,37390,9,32,5,1,0,0,0,5,0,1,1
2372,35669,12,1,10,0,0,0,0,5,0,1,1
2920,10799,5,7,6,0,1,0,0,2,0,0,0
828,27316,11,43,3,1,0,0,0,1,0,1,1
1014,20540,13,39,8,1,0,0,1,4,0,1,0
1855,37440,18,39,14,0,0,0,1,5,0,1,1
2292,49698,10,37,1,0,0,1,0,3,0,1,1
664,45090,6,5,4,1,0,0,0,4,0,1,1
849,46173,8,48,3,0,0,1,0,1,0,1,1
2483,24452,23,18,13,0,0,0,0,3,0,1,1
3247,28875,21,27,0,0,0,0,0,5,0,1,1
778,34259,18,45,1,0,0,0,0,5,0,1,1
1859,47073,22,7,5,0,0,1,0,2,0,1,1
1312,47927,10,15,3,1,0,0,0,2,0,0,1
2199,20089,18,35,12,0,1,0,0,2,0,1,0
3191,14606,4,37,15,0,0,0,1,4,0,1,1
2680,2116,13,22,15,0,0,0,0,2,0,1,1
1782,17695,10,45,3,0,1,0,0,2,0,1,1
41,31663,1,16,4,0,0,0,0,5,0,1,1
731,4273,1,11,12,0,0,1,0,4,0,1,1
130,35845,21,42,0,0,0,0,0,3,0,1,1
2855,31473,2,33,6,0,1,0,0,4,0,1,0
3316,15860,16,44,10,0,0,0,0,1,0,1,1
1640,45090,6,34,2,0,0,1,0,4,0,0,0
2865,35782,16,9,8,0,0,0,1,5,0,1,1
3024,5329,17,24,11,0,1,1,0,2,0,1,0
1818,19551,6,13,14,0,0,1,1,5,0,1,1
935,19436,17,41,6,0,0,0,0,2,0,1,1
3034,20672,22,43,6,0,0,0,0,2,0,1,1
1132,15239,1,34,9,1,0,0,0,3,0,0,0
29,29639,16,28,13,0,0,1,1,2,0,1,0
340,12686,0,29,0,0,0,0,0,5,0,0,1
1999,35410,14,48,8,0,0,1,0,3,0,1,0
3391,40980,12,33,8,1,0,0,1,5,0,1,0
3179,49986,8,48,9,1,0,0,1,1,0,1,0
1777,26182,9,34,1,0,1,1,0,5,0,1,0
2377,37453,13,36,1,0,0,0,0,3,1,1,1
521,46552,7,24,4,1,0,0,0,3,0,1,1
454,41006,15,12,11,0,1,0,0,5,0,1,1
3112,30571,7,26,12,0,1,0,0,1,0,1,0
2829,33140,12,24,4,0,0,0,0,3,1,1,1
1055,47648,9,9,15,0,0,0,1,5,0,0,0
1248,30230,13,26,0,0,0,0,0,5,0,1,1
2462,44496,9,40,15,1,0,0,0,4,0,1,1
3396,47305,16,11,5,1,0,0,0,2,0,1,1
285,21205,3,34,3,1,0,0,0,3,0,0,0
3554,26039,1,28,3,0,0,0,0,5,0,1,1
1711,13271,19,21,10,0,1,0,0,5,0,1,1
84,48911,18,4,2,0,0,0,0,3,0,1,1
3596,26395,14,43,15,0,0,0,0,3,0,1,1
2435,17353,11,23,11,1,0,0,0,1,0,1,1
521,38575,15,21,5,0,0,0,1,1,0,0,0
1344,29019,13,46,14,1,0,0,1,1,0,1,0
1112,9778,16,11,8,0,0,0,0,1,0,0,1
2044,49163,0,32,8,0,0,0,0,2,1,1,0
2170,16379,14,33,9,0,0,0,0,1,0,0,1
1440,33330,17,11,7,1,0,0,0,3,0,1,1
3386,16415,2,40,11,1,0,0,0,5,0,1,1
3219,20032,13,35,12,0,0,0,0,2,0,1,1
549,48489,23,40,10,0,0,0,0,1,0,1,1
1749,49320,23,19,4,0,0,1,0,1,0,1,1
1274,31870,1,35,1,0,0,0,1,2,0,1,1
3309,33307,7,20,14,0,0,0,0,2,0,1,1
375,26926,4,37,12,0,0,0,0,1,0,0,0
3217,26626,1,34,4,0,0,0,0,3,0,1,1
2640,5734,9,11,13,0,0,0,1,1,0,1,1
3193,35956,4,46,4,0,0,0,0,4,0,0,0
2382,16011,8,36,3,0,0,0,0,3,0,1,1
1230,25621,9,19,4,0,0,0,0,5,0,1,1
2543,6580,17,22,11,0,0,0,0,2,0,1,1
2034,42334,0,7,12,0,1,0,0,2,0,0,0
3217,24099,7,46,7,1,0,0,1,1,0,1,0
3125,42297,4,40,9,0,0,0,0,1,0,1,1
2633,19624,8,10,3,0,0,1,0,2,0,1,1
851,17782,10,0,7,0,0,0,0,2,0,1,1
2876,31334,0,48,15,0,0,0,0,2,0,1,1
2133,28451,7,47,1,0,0,0,0,2,0,1,1
1764,43800,10,47,6,1,0,1,0,3,0,1,0
1148,39320,3,10,2,0,1,0,0,5,0,1,1
2542,36388,14,27,2,0,0,0,0,5,0,1,1
3531,34064,11,9,6,0,0,0,0,2,0,1,1
1799,42378,11,44,9,0,0,0,0,4,0,1,1
10,10627,9,7,7,0,0,0,0,3,0,1,1
2905,155,18,35,9,0,0,0,0,2,0,1,1
662,11705,4,14,2,0,0,0,0,5,0,1,1
1344,46892,6,20,1,0,0,0,0,4,0,1,1
1126,10803,6,44,13,0,0,0,0,1,0,1,1
708,6714,1,4,11,0,0,1,0,4,0,1,1
1154,19211,5,16,2,1,0,0,0,4,1,1,1
3375,25602,22,15,9,0,0,0,0,4,1,1,1
3614,33014,22,27,2,0,1,1,0,1,0,0,0
2454,26352,0,15,11,1,0,0,0,2,0,1,1
2818,30692,8,0,10,1,0,1,1,3,0,1,0
1340,24829,9,11,14,0,0,0,0,2,0,1,1
3079,29629,13,8,14,0,0,0,0,4,0,1,1
1986,8994,21,32,3,0,0,1,1,4,0,1,1
1049,5782,20,33,7,0,0,0,0,4,1,1,1
543,33623,19,17,12,0,0,0,0,4,0,1,1
1541,42923,9,24,1,0,0,0,0,3,0,0,1
1180,28871,13,50,6,0,0,0,1,1,0,1,1
3293,41789,3,37,6,1,0,0,0,3,0,1,0
1550,31184,4,21,4,0,0,0,0,5,0,1,1
1447,25486,0,12,4,1,0,0,0,4,0,1,1
2443,4808,20,25,13,0,0,0,0,1,0,1,1
2602,43414,16,40,15,1,0,0,0,5,0,1,1
2280,25374,10,33,7,1,0,0,0,5,0,1,1
2497,22624,4,7,12,0,0,0,1,3,0,1,1
2325,28913,13,35,10,1,1,0,0,2,0,1,0
3424,10769,9,37,14,0,1,0,0,1,1,1,0
963,11834,3,3,13,0,1,0,1,2,0,1,1
1512,17163,21,12,4,1,0,0,0,2,0,1,1
2231,45010,7,13,11,0,0,0,1,4,0,1,1
2936,12268,22,38,0,0,0,0,0,4,0,1,1
662,20724,21,27,12,1,0,0,0,2,0,1,1
88,29749,12,21,10,1,0,0,0,5,0,1,1
1305,36078,14,7,9,0,0,0,1,4,0,1,1
874,44532,9,20,15,1,0,0,0,1,0,0,0
2650,10815,11,16,13,0,1,0,0,3,0,1,1
3283,17091,3,46,12,0,0,0,0,5,0,1,1
2250,26671,13,3,11,1,0,0,0,3,0,1,1
1079,6653,3,23,1,0,0,0,0,3,0,1,1
542,21827,5,30,3,0,0,0,0,1,0,1,1
2811,25061,14,10,8,1,0,0,0,3,0,1,1
2172,49008,8,25,15,0,0,1,0,3,0,1,0
2029,35535,16,44,2,1,0,0,1,5,0,1,1
2965,48211,4,35,5,0,0,1,1,1,0,0,0
686,46917,11,30,3,0,1,0,0,4,0,1,1
270,17025,9,15,15,1,0,0,0,5,0,0,1
2298,38338,20,3,1,0,0,1,0,3,1,1,1
2247,11939,11,13,8,0,1,0,0,5,0,1,1
1881,29065,11,40,0,0,0,0,1,1,0,1,1
3426,6181,10,40,6,1,0,0,0,1,0,1,1
2070,46146,1,9,1,1,0,0,0,4,0,1,1
2291,34632,16,31,6,1,0,0,0,5,0,1,1
782,49060,8,39,9,1,0,0,0,3,0,1,1
1012,18668,5,38,3,0,0,0,0,3,0,1,1
2556,33253,8,35,4,0,0,0,1,2,0,1,1
3340,14731,6,15,2,0,1,0,0,4,0,1,1
613,46981,15,42,4,0,0,0,1,4,0,1,1
1153,25160,12,20,13,0,0,1,0,3,0,0,0
2244,36642,19,33,9,0,0,0,1,4,0,1,1
3644,16309,10,1,14,0,0,0,1,4,0,1,1
3349,20225,0,20,2,0,0,0,0,1,0,1,1
2321,6990,11,10,13,1,0,0,0,2,0,0,1
1071,1968,5,8,3,0,0,0,0,4,0,1,1
2191,37406,2,45,3,1,1,0,0,5,0,1,0
646,7428,22,26,1,0,0,1,0,3,0,1,1
1531,8797,16,24,7,1,1,0,1,3,1,1,0
1299,24274,19,44,6,0,0,0,0,3,0,1,1
934,34238,3,39,0,0,0,0,0,3,0,1,1
2382,32818,3,3,11,1,0,0,1,5,0,1,1
2316,788,13,49,4,0,0,0,0,1,0,1,1
1929,46413,2,16,1,1,0,0,0,4,0,1,1
527,42866,18,25,3,0,0,0,0,5,0,1,1
2396,31269,3,21,11,0,0,1,0,1,0,1,0
3334,2271,17,16,12,0,0,0,0,1,0,1,1
867,30129,13,34,15,0,0,0,0,1,0,0,0
892,47978,6,20,4,0,0,0,1,1,0,1,1
3601,33633,20,50,10,0,1,0,0,3,0,1,0
3629,44209,11,18,11,1,0,0,0,1,0,1,1
3322,15822,7,24,10,0,0,0,0,4,0,1,1
990,3754,3,17,4,0,0,0,0,2,0,1,1
1794,37832,8,9,1,1,0,0,0,1,0,1,1
3156,11787,5,2,15,1,0,0,0,3,0,1,1
3034,38254,20,48,14,0,0,0,1,3,0,1,1
375,34898,20,37,9,0,0,0,0,4,0,1,1
360,15444,15,31,9,0,0,0,0,2,0,1,1
3268,39342,23,0,0,1,0,0,0,3,0,0,1
126,47508,16,48,5,1,0,0,0,1,0,1,1
1458,39758,23,23,10,0,0,0,0,3,0,1,1
1842,18703,14,29,9,1,0,1,0,4,1,1,0
797,20548,14,16,12,1,0,1,0,5,0,1,1
1403,10592,18,2,9,1,0,0,0,4,0,1,1
836,9724,0,27,14,0,0,0,0,3,0,1,1
2152,9439,23,18,4,1,0,1,0,3,0,1,1
1890,24852,21,44,14,1,0,0,0,1,0,1,1
1018,48661,5,16,2,0,1,0,1,2,0,1,1
1240,2464,14,26,10,1,0,0,1,3,0,1,1
2047,28408,3,6,12,0,1,0,0,1,0,1,1
2195,40520,5,2,10,0,1,0,0,2,0,1,1
683,36684,21,9,9,0,0,0,0,3,0,1,1
3375,27820,18,49,7,1,0,0,0,4,0,1,1
1573,20630,7,7,4,1,0,1,0,1,0,1,1
3332,8615,5,10,2,0,0,0,0,5,1,1,1
1552,5195,7,16,6,1,0,0,0,2,0,1,1
2556,2961,22,13,7,0,1,0,0,1,0,1,1
2829,34334,18,18,8,1,0,0,1,2,0,1,1
1588,25245,17,13,1,1,0,0,0,4,0,1,1
1490,9237,22,30,13,1,0,0,0,1,0,0,0
3066,31907,17,31,5,1,0,0,0,5,0,0,0
668,40596,0,42,2,0,1,0,1,3,0,1,0
2672,48705,11,50,4,0,0,0,1,1,0,0,0
23,20190,20,42,12,0,0,0,0,1,0,1,0
3027,5852,11,36,9,0,0,0,1,3,0,1,1
1998,5365,8,6,8,0,0,0,0,1,0,1,1
952,34783,0,35,12,1,0,0,1,4,0,1,0
940,19614,7,0,3,0,0,0,1,2,0,0,1
558,28182,4,37,7,1,0,1,0,3,0,1,0
3254,24097,10,24,3,0,0,0,0,1,0,1,1
3574,44734,9,46,13,0,0,0,0,1,0,1,1
2804,20103,11,15,15,0,0,1,1,1,0,1,1
3031,47842,23,7,12,0,0,0,0,2,0,1,1
1148,39392,11,25,3,1,1,0,1,2,0,1,0
278,16626,16,25,11,0,1,0,0,3,0,1,1
3432,13389,14,30,11,0,0,1,0,4,0,0,0
686,36091,16,49,4,0,0,0,0,3,0,1,1
1146,39198,13,4,5,0,0,0,0,5,0,1,1
1542,1126,7,43,12,0,0,1,0,3,0,1,1
2320,12877,2,47,7,1,1,0,0,1,0,1,0
870,30883,5,3,11,1,1,1,1,5,1,1,0
520,19606,9,7,13,1,0,0,0,3,1,1,1
2141,41055,11,8,4,0,0,1,0,3,0,1,1
872,18763,22,7,15,0,0,0,0,5,0,1,1
1462,40705,22,26,1,1,0,0,0,4,0,0,0
3431,20068,13,16,1,1,0,0,0,1,0,1,1
1901,30109,19,22,9,1,0,0,1,2,0,1,0
1604,13006,10,50,4,0,0,0,0,2,0,1,1
2180,43808,9,19,14,0,0,0,0,4,0,1,1
1914,16664,2,36,0,0,0,0,0,2,0,1,1
3076,16683,16,22,4,0,0,0,0,1,0,1,1
2614,38223,4,9,7,0,0,0,0,3,0,1,1
844,19503,18,35,14,0,0,0,1,5,0,1,1
206,23746,15,46,5,0,0,0,0,1,0,1,1
2986,3283,1,8,0,1,0,0,0,4,0,1,1
2917,31855,16,0,14,0,0,1,1,3,0,1,1
1402,32944,16,33,10,0,0,0,0,5,0,1,1
1100,18297,14,44,6,0,0,0,0,4,0,0,1
1908,36268,7,13,9,0,0,0,0,5,0,1,1
1192,10588,20,0,4,1,1,0,1,3,1,1,1
3627,1491,19,30,3,0,0,0,0,3,0,1,1
3251,46299,19,15,7,0,0,0,0,3,0,1,1
517,10818,13,4,5,0,0,0,0,5,0,1,1
452,39210,12,19,5,1,0,0,0,5,0,1,1
2386,15176,9,40,8,0,0,1,0,2,0,1,1
1989,48219,19,40,0,0,0,0,0,1,0,1,1
2634,22703,21,25,10,0,0,1,0,1,0,1,0
596,36332,14,1,13,0,0,0,0,1,0,1,1
745,36973,1,28,3,1,0,0,1,3,0,1,1
1814,27501,1,29,8,0,0,0,1,1,0,1,0
3492,11346,12,45,9,1,0,0,0,3,0,0,0
3579,29048,14,3,12,0,0,1,0,3,0,1,1
2260,28337,6,48,4,1,0,0,0,1,0,0,0
802,47409,10,49,2,0,0,0,0,2,0,1,1
1188,7620,12,45,2,0,0,0,0,3,0,1,1
2557,29071,10,24,6,0,0,1,0,3,0,1,0
363,5317,5,39,3,0,0,0,0,3,0,1,1
3286,28937,6,42,5,0,0,0,0,2,0,1,1
1365,5113,4,48,9,1,0,0,1,3,0,1,1
196,2197,23,41,6,0,0,0,1,5,0,1,1
3461,26157,13,41,0,0,1,1,0,1,0,1,0
3111,671,8,4,9,1,0,0,0,1,0,1,1
2701,23209,13,46,15,0,0,0,0,4,0,1,1
289,41690,10,31,9,1,0,0,0,2,0,1,1
2254,35072,14,18,5,0,1,0,0,1,0,1,1
2378,37875,0,28,1,0,0,0,0,5,0,1,1
3389,11174,6,23,9,0,0,0,0,2,0,1,1
1777,36423,16,42,8,0,0,1,0,2,0,0,0
2716,42066,23,0,12,1,0,0,0,1,0,1,1
659,37835,8,44,14,0,0,0,1,3,0,1,1
2582,2773,14,39,3,1,0,1,0,5,0,1,1
1984,45286,9,28,2,0,0,0,0,4,0,1,1
3194,43636,10,1,13,1,0,0,0,1,0,1,1
2362,34670,15,44,13,1,0,0,0,4,0,1,1
1289,35720,5,28,9,1,0,0,0,4,0,1,0
3646,19285,9,12,10,0,0,0,0,3,0,1,1
650,43317,10,14,15,0,0,0,1,2,1,1,0
2110,28463,14,2,5,1,0,0,1,5,0,1,1
2916,27536,21,9,6,1,0,0,1,4,0,1,1
161,15909,7,0,4,0,0,1,0,5,0,1,1
2950,2113,13,39,14,1,1,0,1,3,0,1,0
1574,35513,19,11,10,1,0,0,0,3,0,0,0
2301,19222,16,34,3,1,0,0,0,4,0,1,1
166,43479,23,49,0,1,0,0,0,3,0,1,1
3197,30867,18,24,3,1,0,0,0,3,0,1,1
2903,22433,10,45,1,0,0,0,1,4,0,1,1
2218,24239,13,10,15,0,0,0,0,3,0,1,1
1449,580,8,9,5,0,0,0,0,4,0,1,1
2769,45158,13,13,1,0,0,0,0,4,0,1,1
2214,2700,23,25,13,1,0,0,0,2,0,0,0
3222,15005,7,28,7,0,1,0,0,3,0,1,1
1263,40160,23,8,2,0,0,0,0,1,0,1,1
2414,14725,6,11,0,0,1,0,0,2,0,1,1
1826,25348,19,49,5,1,0,0,0,5,0,1,1
1320,37109,23,22,7,0,0,0,0,2,0,1,1
637,17430,3,36,9,1,0,0,1,2,0,1,1
3374,10345,4,37,9,0,0,0,0,1,0,1,1
3562,37698,22,41,4,0,0,0,0,3,1,1,1
2154,9496,14,38,12,1,1,0,0,2,0,1,1
3500,17628,6,34,15,0,0,0,0,5,0,1,1
1414,37852,12,25,13,0,0,0,0,3,0,1,1
220,16446,2,27,2,0,0,0,1,1,0,1,1
2954,20876,11,48,10,1,0,0,0,1,0,1,1
1620,19952,21,3,12,0,0,0,0,1,0,1,1
911,48410,23,7,1,1,1,0,1,3,0,0,0
156,5602,15,1,5,0,0,1,0,5,0,1,1
1195,30686,20,47,6,0,0,0,0,4,0,0,0
1716,1858,19,8,5,1,0,0,0,4,0,1,1
953,27537,7,26,13,0,0,0,0,3,0,1,1
2554,41702,20,20,7,1,0,0,0,3,0,1,1
227,13692,10,23,0,0,0,0,0,3,0,1,1
1052,45003,5,36,2,0,0,1,0,5,0,1,1
3177,34029,22,45,2,0,0,0,0,1,0,1,1
2657,13265,23,15,1,1,0,0,0,4,0,1,1
2797,40456,1,2,9,0,0,1,0,2,0,1,1
1219,19748,15,48,14,0,1,0,0,2,0,1,1
87,2240,15,0,5,0,0,0,0,1,0,1,1
2045,28138,19,37,12,0,0,0,0,5,0,1,1
2118,35450,10,47,11,1,0,1,1,3,0,1,0
3252,33786,7,10,12,1,0,0,0,3,1,1,0
585,30276,15,1,0,0,0,1,0,2,0,1,1
960,30150,21,27,9,1,0,0,0,2,0,0,0
1612,21041,4,46,0,0,0,0,1,1,0,1,1
1232,47121,14,16,0,0,0,0,0,5,0,1,1
1263,49233,14,26,12,0,0,1,0,2,0,1,0
2074,24376,4,25,3,0,0,0,0,1,0,0,0
2432,29237,22,14,2,1,0,0,0,4,0,1,1
432,10293,7,23,12,0,1,1,0,4,0,1,0
2446,34734,15,14,14,0,0,0,1,4,0,1,1
2285,5323,2,7,7,1,0,0,1,4,0,1,1
3385,39897,2,29,9,0,0,0,0,2,0,1,1
453,10599,5,45,11,0,1,0,1,2,0,1,0
1236,41999,15,2,9,0,1,1,0,1,0,1,0
3576,43471,2,21,0,0,0,0,1,3,1,1,0
3342,49386,17,48,10,1,0,0,0,4,0,1,1
2972,34795,12,47,14,1,1,0,0,1,0,1,0
2096,40683,9,34,10,0,0,1,0,2,0,1,0
2102,38228,15,48,2,0,0,0,0,4,0,1,1
2346,16469,12,3,6,0,0,0,0,4,0,1,1
17,46152,16,35,4,0,0,0,0,4,0,1,1
1806,1104,12,36,12,0,0,0,0,2,0,1,1
3383,24870,19,24,5,0,0,0,0,4,0,1,1
2082,41799,21,28,3,1,1,0,0,3,0,1,1
3407,41117,8,31,3,0,0,0,0,2,0,1,1
2637,39570,9,30,6,0,0,0,0,5,0,1,1
1205,297,1,9,1,0,0,0,0,5,0,1,1
907,33664,20,3,6,0,0,0,1,4,0,1,1
1205,23248,1,41,7,0,0,0,0,3,0,1,1
2538,19236,16,1,0,0,0,0,0,1,0,1,1
298,45873,0,12,7,1,0,0,0,1,0,0,0
1577,29017,1,31,9,0,0,0,0,2,0,1,1
788,7216,1,0,2,0,0,0,0,2,0,1,1
3228,32093,6,23,4,0,0,0,0,2,0,1,1
36,13741,21,13,14,0,1,0,0,4,0,1,1
663,8054,15,4,3,0,0,0,0,4,0,1,1
3214,18758,6,45,15,1,1,0,0,5,0,1,1
616,22404,13,14,10,0,0,0,0,5,1,1,1
3273,48934,5,24,14,0,0,0,0,1,0,0,0
1959,4088,21,23,10,0,1,1,0,1,0,1,0
129,38746,1,28,3,0,0,0,0,3,0,1,1
2260,18038,19,8,6,1,0,0,0,5,0,1,1
1500,43069,14,44,5,0,0,0,0,3,0,1,1
924,13341,23,18,15,0,0,0,0,2,0,1,1
2658,29108,18,5,13,0,0,0,1,3,0,1,1
263,20756,6,3,8,1,0,0,1,5,0,1,1
1913,25878,21,3,10,1,0,0,0,1,0,1,1
3612,17140,14,25,8,0,0,0,0,4,1,1,1
3486,35325,12,14,13,1,0,0,0,4,0,1,1
2265,36368,21,16,1,0,0,0,0,2,0,1,1
2561,5877,20,33,3,1,0,0,0,2,0,1,1
920,12252,3,49,3,0,0,1,0,4,0,1,1
3259,44072,3,36,0,0,0,0,0,3,0,1,1
1828,30235,20,6,12,0,1,1,0,4,0,1,0
1125,12187,4,29,8,1,0,0,0,1,0,0,0
1565,1194,10,14,1,0,0,0,0,3,0,1,1
1210,49066,11,30,9,0,0,0,0,2,0,1,1
3097,27842,20,15,14,0,0,0,0,1,0,1,1
3525,19168,4,41,4,0,0,0,0,5,0,1,1
778,35173,14,34,5,0,1,1,1,2,0,1,0
597,29132,12,7,6,0,1,0,0,5,0,0,0
1638,19890,21,23,0,0,0,1,1,1,0,1,1
3537,26309,13,47,13,0,0,1,0,3,0,1,0
3627,27291,18,26,15,0,0,0,0,1,0,1,1
904,14297,23,47,6,0,0,0,0,2,0,1,1
3442,4280,11,46,12,0,0,0,1,5,0,1,1
2605,9653,23,40,0,0,1,0,0,2,0,1,1
1980,25284,0,18,11,1,1,0,0,2,0,1,0
294,16007,22,21,15,0,0,1,0,5,0,1,1
3561,10314,5,22,2,0,0,0,0,3,0,1,1
1941,31344,22,26,12,0,0,0,0,2,0,1,1
1371,29330,20,44,8,1,0,0,0,4,0,1,1
3473,8229,8,1,8,0,0,1,0,5,0,1,1
771,5632,20,34,0,0,0,0,0,5,0,1,1
153,4613,10,33,8,0,0,0,0,3,0,1,1
481,18265,11,39,6,0,0,0,0,1,0,0,1
1002,47655,19,17,11,0,0,0,0,1,0,1,1
3281,49433,14,34,8,1,0,0,0,2,0,0,0
3402,44230,8,7,2,0,0,1,0,3,0,0,1
1188,12950,11,36,9,1,0,0,0,4,0,1,1
1511,17568,13,25,2,1,0,0,0,1,0,1,1
1658,11120,9,5,2,0,0,0,0,3,0,0,1
894,34168,15,23,8,0,0,1,1,1,0,1,0
3614,31196,16,24,15,0,0,0,0,4,0,1,1
2221,41942,6,26,9,1,0,0,1,5,0,0,0
2734,15521,10,25,14,0,0,0,1,3,1,1,0
1208,40167,7,50,3,0,0,0,1,5,0,1,1
708,44076,2,44,7,1,1,0,0,1,0,1,0
690,5613,4,40,10,0,0,0,1,4,0,1,1
3342,33224,15,30,14,1,0,0,0,2,0,1,1
2319,37435,3,7,14,0,1,0,0,5,0,0,0
753,23318,0,33,13,0,0,0,0,5,0,1,1
921,21039,13,7,10,0,0,0,0,5,0,1,1
1046,14636,4,15,1,0,0,0,0,2,0,1,1
862,48527,16,38,8,0,1,0,0,1,0,1,0
265,24436,3,21,15,0,0,0,0,1,0,1,1
2145,49674,23,3,3,0,0,0,0,2,0,0,1
2366,5593,1,22,1,0,0,0,1,5,0,1,1
189,46042,14,17,6,0,0,0,0,2,1,1,1
470,16586,3,45,0,1,0,0,0,3,0,1,1
2739,44239,19,23,10,0,0,0,0,3,0,0,0
611,29255,21,10,3,1,0,0,1,2,0,1,1
398,27104,14,45,7,0,0,0,0,3,0,0,0
2901,35535,4,0,2,0,0,0,0,2,0,1,1
586,38601,10,16,8,1,1,0,0,2,0,1,1
2638,13337,6,31,2,1,0,0,1,1,0,1,1
2549,35907,5,18,1,0,0,1,0,4,1,1,0
548,10870,22,26,8,1,0,0,0,5,0,1,1
1879,35238,1,32,8,0,0,0,0,3,0,1,1
